"id_etudiant";"id_matiere";"session";"ann_univ";"valeur_note";"date_evaluation";"commentaire"
27;40;"Normale";"2025-2026";13.5;"2026-05-30";"Conception organisationnelle correcte"
28;42;"Normale";"2025-2026";14.0;"2026-05-30";"Segmentation bien réalisée"
29;49;"Normale";"2025-2026";15.5;"2026-05-30";"Balance des paiements maîtrisée"
30;44;"Normale";"2025-2026";17.25;"2026-05-30";"Excellent calcul de rentabilité"
31;47;"Normale";"2025-2026";12.0;"2026-05-30";"Élasticité bien traitée"
32;25;"Normale";"2025-2026";14.75;"2026-05-30";"Travail de dynamique bien fait"
33;16;"Normale";"2025-2026";10.5;"2026-05-30";"Suites à retravailler"
33;16;"Rattrapage";"2025-2026";13.0;"2026-05-30";"Bonne progression"
34;56;"Normale";"2025-2026";18.0;"2026-05-30";"Excellent calcul de structures"
35;13;"Normale";"2025-2026";17.5;"2026-05-30";"MongoDB bien maîtrisé"
36;1;"Normale";"2025-2026";11.5;"2026-05-30";"Récursivité partiellement acquise"
37;59;"Normale";"2025-2026";15.0;"2026-05-30";"Ferraillage correct"
38;53;"Normale";"2025-2026";16.75;"2026-05-30";"Principes constitutionnels bien maîtrisés"
39;22;"Normale";"2025-2026";14.25;"2026-05-30";"Intervalle de confiance bien calculé"
40;51;"Normale";"2025-2026";13.0;"2026-05-30";"Sources du droit bien identifiées"
41;18;"Normale";"2025-2026";15.75;"2026-05-30";"Loi de Poisson bien appliquée"
42;60;"Normale";"2025-2026";16.0;"2026-05-30";"FFT bien maîtrisée"
43;26;"Normale";"2025-2026";12.5;"2026-05-30";"Loi de Faraday appliquée"
44;10;"Normale";"2025-2026";18.25;"2026-05-30";"Analyse de vulnérabilité réseau excellente"
45;26;"Normale";"2025-2026";9.5;"2026-05-30";"Champ magnétique à retravailler"
45;26;"Rattrapage";"2025-2026";11.0;"2026-05-30";"Amélioration constatée"
46;60;"Normale";"2025-2026";17.0;"2026-05-30";"Filtres numériques bien conçus"
47;60;"Normale";"2025-2026";14.5;"2026-05-30";"Bonne analyse spectrale"
48;44;"Normale";"2025-2026";15.25;"2026-05-30";"Calcul de WACC exact"
49;59;"Normale";"2025-2026";13.5;"2026-05-30";"Calcul des armatures correct"
50;36;"Normale";"2025-2026";16.0;"2026-05-30";"Génétique mendélienne bien acquise"
51;25;"Normale";"2025-2026";17.25;"2026-05-30";"Excellent en dynamique des fluides"
52;27;"Normale";"2025-2026";14.0;"2026-05-30";"Cycles thermodynamiques bien traités"
53;40;"Normale";"2025-2026";13.75;"2026-05-30";"École de management bien analysée"
54;34;"Normale";"2025-2026";15.0;"2026-05-30";"Enzymologie bien maîtrisée"
55;35;"Normale";"2025-2026";16.5;"2026-05-30";"Mitose/méiose parfaitement expliquée"
56;3;"Normale";"2025-2026";18.5;"2026-05-30";"Modèle E/R impeccable"
57;61;"Normale";"2025-2026";14.0;"2026-05-30";"Modulation AM/FM correcte"
58;10;"Normale";"2025-2026";7.5;"2026-05-30";"Cryptographie à revoir"
58;10;"Rattrapage";"2025-2026";10.0;"2026-05-30";"Notions de base acquises"
59;52;"Normale";"2025-2026";15.5;"2026-05-30";"Contrats spéciaux bien traités"
60;53;"Normale";"2025-2026";14.75;"2026-05-30";"Séparation des pouvoirs claire"
61;18;"Normale";"2025-2026";12.0;"2026-05-30";"Statistiques biologiques correctes"
62;11;"Normale";"2025-2026";17.75;"2026-05-30";"Réseau neuronal convolutif bien implémenté"
63;37;"Normale";"2025-2026";13.25;"2026-05-30";"Bactériologie bien maîtrisée"
64;22;"Normale";"2025-2026";16.0;"2026-05-30";"Régressions multiples bien appliquées"
65;55;"Normale";"2025-2026";14.5;"2026-05-30";"Contrats de travail bien analysés"
66;61;"Normale";"2025-2026";15.75;"2026-05-30";"Codage numérique bien maîtrisé"
67;1;"Normale";"2025-2026";18.75;"2026-05-30";"Algorithmique très avancée"
68;34;"Normale";"2025-2026";16.25;"2026-05-30";"Métabolisme des glucides bien expliqué"
69;17;"Normale";"2025-2026";11.0;"2026-05-30";"Diagonalisation à retravailler"
69;17;"Rattrapage";"2025-2026";13.5;"2026-05-30";"Bonne reprise"
70;10;"Normale";"2025-2026";8.0;"2026-05-30";"Pare-feu à mieux comprendre"
70;10;"Rattrapage";"2025-2026";11.25;"2026-05-30";"Effort fourni"
71;52;"Normale";"2025-2026";14.0;"2026-05-30";"Régime matrimonial bien traité"
72;31;"Normale";"2025-2026";13.0;"2026-05-30";"Synthèse organique correcte"
73;61;"Normale";"2025-2026";16.5;"2026-05-30";"Multiplexage WDM bien compris"
74;36;"Normale";"2025-2026";15.0;"2026-05-30";"Génétique des populations maîtrisée"
75;57;"Normale";"2025-2026";12.75;"2026-05-30";"Équation de continuité bien appliquée"
76;50;"Normale";"2025-2026";14.25;"2026-05-30";"Séries temporelles correctes"
77;1;"Normale";"2025-2026";13.5;"2026-05-30";"Algorithmes de graphe corrects"
78;44;"Normale";"2025-2026";16.75;"2026-05-30";"Analyse financière excellente"
79;13;"Normale";"2025-2026";17.0;"2026-05-30";"Pipeline de données bien conçu"
80;36;"Normale";"2025-2026";10.5;"2026-05-30";"Génétique quantitative à approfondir"
81;57;"Normale";"2025-2026";9.0;"2026-05-30";"Loi de Poiseuille à retravailler"
81;57;"Rattrapage";"2025-2026";11.5;"2026-05-30";"Notions réacquises"
82;49;"Normale";"2025-2026";16.0;"2026-05-30";"Balance des paiements bien analysée"
83;41;"Normale";"2025-2026";17.5;"2026-05-30";"Plan comptable maîtrisé"
84;3;"Normale";"2025-2026";15.25;"2026-05-30";"Triggers SQL bien écrits"
85;12;"Normale";"2025-2026";18.25;"2026-05-30";"SVM et forêts aléatoires bien implémentés"
86;52;"Normale";"2025-2026";12.0;"2026-05-30";"Obligations légales à approfondir"
87;35;"Normale";"2025-2026";14.75;"2026-05-30";"PCR bien expliquée"
88;54;"Normale";"2025-2026";15.5;"2026-05-30";"Service public bien défini"
89;41;"Normale";"2025-2026";9.0;"2026-05-30";"Amortissements à retravailler"
89;41;"Rattrapage";"2025-2026";12.0;"2026-05-30";"Bonne progression"
90;13;"Normale";"2025-2026";16.75;"2026-05-30";"Data Lake bien structuré"
91;35;"Normale";"2025-2026";13.5;"2026-05-30";"Cycle cellulaire bien compris"
92;37;"Normale";"2025-2026";15.0;"2026-05-30";"Identification bactérienne correcte"
93;26;"Normale";"2025-2026";11.75;"2026-05-30";"Loi d'Ampère à retravailler"
93;26;"Rattrapage";"2025-2026";13.5;"2026-05-30";"Amélioration notée"
94;37;"Normale";"2025-2026";16.5;"2026-05-30";"Virologie bien développée"
95;44;"Normale";"2025-2026";14.0;"2026-05-30";"TRI bien calculé"
96;16;"Normale";"2025-2026";12.5;"2026-05-30";"Intégrales de Riemann correctes"
97;18;"Normale";"2025-2026";15.75;"2026-05-30";"Variable aléatoire bien maîtrisée"
98;47;"Normale";"2025-2026";13.0;"2026-05-30";"Courbe de demande bien tracée"
99;22;"Normale";"2025-2026";14.75;"2026-05-30";"ANOVA correctement appliquée"
100;41;"Normale";"2025-2026";16.25;"2026-05-30";"Liasse fiscale bien remplie"
101;11;"Normale";"2025-2026";17.0;"2026-05-30";"Réseaux de neurones récurrents excellents"
101;12;"Normale";"2025-2026";16.5;"2026-05-30";"Descente de gradient bien implémentée"
102;2;"Normale";"2025-2026";15.5;"2026-05-30";"POO avec Java bien maîtrisée"
102;8;"Normale";"2025-2026";14.0;"2026-05-30";"Design patterns bien utilisés"
103;17;"Normale";"2025-2026";12.0;"2026-05-30";"Algèbre linéaire à consolider"
103;17;"Rattrapage";"2025-2026";14.0;"2026-05-30";"Bonne progression"
103;18;"Normale";"2025-2026";13.25;"2026-05-30";"Variables aléatoires continues acquises"
104;4;"Normale";"2025-2026";16.0;"2026-05-30";"VPN et cryptographie bien compris"
104;10;"Normale";"2025-2026";15.25;"2026-05-30";"Pentest bien réalisé"
105;42;"Normale";"2025-2026";16.0;"2026-05-30";"Mix marketing 4P bien développé"
105;43;"Normale";"2025-2026";14.5;"2026-05-30";"Plans de formation bien élaborés"
106;41;"Normale";"2025-2026";11.75;"2026-05-30";"Plan comptable à approfondir"
106;41;"Rattrapage";"2025-2026";13.5;"2026-05-30";"Comptes bien passés"
107;1;"Normale";"2025-2026";17.5;"2026-05-30";"Complexité algorithmique maîtrisée"
107;13;"Normale";"2025-2026";18.0;"2026-05-30";"Kafka et Spark maîtrisés"
108;51;"Normale";"2025-2026";14.75;"2026-05-30";"Droit de la famille bien traité"
108;52;"Normale";"2025-2026";12.5;"2026-05-30";"Contrats de vente bien analysés"
109;56;"Normale";"2025-2026";15.0;"2026-05-30";"Poutres isostatiques correctes"
109;59;"Normale";"2025-2026";14.25;"2026-05-30";"Béton précontraint correct"
110;60;"Normale";"2025-2026";15.5;"2026-05-30";"Analyse de Fourier bien maîtrisée"
110;63;"Normale";"2025-2026";14.25;"2026-05-30";"Routage OSPF bien configuré"
111;22;"Normale";"2025-2026";16.0;"2026-05-30";"Régression logistique bien maîtrisée"
111;47;"Normale";"2025-2026";14.0;"2026-05-30";"Oligopole bien analysé"
112;53;"Normale";"2025-2026";13.75;"2026-05-30";"Contrôle de légalité correct"
112;54;"Normale";"2025-2026";16.25;"2026-05-30";"Actes administratifs bien classifiés"
113;35;"Normale";"2025-2026";15.0;"2026-05-30";"Transcription/traduction bien expliquée"
113;36;"Normale";"2025-2026";15.25;"2026-05-30";"Génétique des populations maîtrisée"
114;11;"Normale";"2025-2026";18.5;"2026-05-30";"Apprentissage par renforcement excellent"
114;12;"Normale";"2025-2026";19.0;"2026-05-30";"Modèle Transformer excellemment implémenté"
115;56;"Normale";"2025-2026";16.5;"2026-05-30";"Treillis et poutres très bien calculés"
115;58;"Normale";"2025-2026";13.0;"2026-05-30";"Lever topographique correct"
116;34;"Normale";"2025-2026";14.0;"2026-05-30";"Cycles de Krebs bien expliqués"
116;38;"Normale";"2025-2026";15.5;"2026-05-30";"Hormones et régulation bien expliquées"
117;37;"Normale";"2025-2026";13.5;"2026-05-30";"Antibiogramme bien interprété"
117;39;"Normale";"2025-2026";16.0;"2026-05-30";"Réponse immunitaire adaptative maîtrisée"
118;25;"Normale";"2025-2026";11.5;"2026-05-30";"Pendule à retravailler"
118;25;"Rattrapage";"2025-2026";13.0;"2026-05-30";"Notions de base acquises"
118;28;"Normale";"2025-2026";12.0;"2026-05-30";"Diffraction bien comprise"
119;48;"Normale";"2025-2026";15.75;"2026-05-30";"Investissements directs étrangers bien traités"
119;50;"Normale";"2025-2026";14.25;"2026-05-30";"MCG correctement appliqué"
120;47;"Normale";"2025-2026";16.5;"2026-05-30";"Surplus du consommateur bien calculé"
120;49;"Normale";"2025-2026";17.25;"2026-05-30";"Termes de l'échange bien analysés"
